,0
OB_after_upload,0.5649059598030932
Attempt per Lead,0.09534853721246798
upload_to_first_attempt_P50 (hrs),0.07217143945360935
Attempted,0.0641940447498237
upload_dow_1,0.056319303860582565
lead_source_Single Referral > 7 days- 24th Jul,0.02968072792131264
lead_source_AI Connected band Not Interested,0.023085501335304345
lead_source_OLX - Ashwin - 2W - 17 Jul,0.022843558848891592
tag_filled,0.01580540975861875
Connected,0.013677167080073774
lead_source_Khanna- 2W 26th Jul,0.012910067766522041
lead_source_2W3W - 3WCNG - Khanna - 3W - 17 Jul,0.005696775265149802
upload_dow_5,0.004019253544309131
lead_source_PreOb-Ob Fees Paid 29th Jul (set 1),0.003991084665485927
upload_dow_3,0.0033096343651491705
